Date,MonthYear,Attack Name,Network,Attacked Protocol Addresses,Attacker,Detected,AlertId,Time of Alert,ExploitTxHash,Time of Exploit Tx,Diff,Diff in sec,Victim,Comment,ProtocolContracts
05/02/2023,20235,Level Finance,BSC,,0x70319d1c09e1373fc7b10403c852909e5b20a9d5,FN,,,,,,,,Based on base bots there should have been an alert; funding missing; funded by diff account,"0xA5aBFB56a78D2BD4689b25B8A77fd49Bb0675874,0xB5C42F84Ab3f786bCA9761240546AA9cEC1f8821,0x4265af66537F7BE1Ca60Ca6070D97531EC571BDd,0xcC5368f152453D497061CB1fB578D2d3C54bD0A0,0xBD8638C1fF477275E49aaAe3E4691b74AE76BeCd,0xf584A17dF21Afd9de84F47842ECEAF6042b1Bb5b,0x04Db83667F5d59FF61fA6BbBD894824B233b3693,0xe423BB0a8b925EABF625A8f36B468ab009a854e7,0x6cd4c40016F10E1609f16fB4a84CAe4700a4DaD6,0x8826C45DAB800697C48ea87322Ac0a6Ed70cE4A4,0x3d54A363bC92a2da545f39a0F09dE62a2cC7E62d,0x6023C6afa26a68E05672F111FdbB1De93cBAc621,0x360071D15cce5542E6B7209752eA479b84b28625,0xa0E6B7aE9F4D284df33D41B1355aC28CBDC64F8c,0x8f886b4b10344289cEAd777953f95FA0317bcD33,0x6442b001c5AcCE8cb71986ad65B22684821A927A,0x4D91cf959C86888df1ed20877b27Fa0C7BC08147,0xB64E280e9D1B5DbEc4AcceDb2257A87b400DB149,0x9a1409a1b7826A80B6C6D33f85a342Cd9448FB54,0x92A0A11A57C28d4C86a629530fd59B83B1276003,0x804bbb7a06c0934571aAD137360215ef1335e6A1,0xBe2B6C5E31F292009f495DDBda88e28391C9815E,0x87CC04d6FE59859cB7eB6d970EBc22dCdCBc9368,0xB07953F23545796710957faec97F05B21146AC2d,0x8BFf27E9Fa1C28934554e6B5239Fb52776573619,0x63B487204A76bA4962d384Dc41F7B06e880c8d80,0x4385d6E60AE5f53E63d0A69Af4434A249014DCB2,0x31A3CDCC3a04fd8a1888e33E38b9D2bb72D6b1dc,0x4aa34261769BA17FAA10B99BaCF63Baca4238205,0x8e532B2dBa81C4474e1ee2e0a35cd25347f2ad3B,0x1Ab33A7454427814a71F128109fE5B498Aa21E5d,0x5aE081b6647aEF897dEc738642089D4BDa93C0e7,0xe5f3b669fd58AF914111759da054f3029734678C,0x08A12FFedf49fa5f149C73B07E31f99249e40869,0x95883611685a20936EC935B0A33F82e11D478e3D,0x22E7F559bE09B6A758F02A84dDC64f45642206a1,0x977087422C008233615b572fBC3F209Ed300063a,0x4980c82cF6A4bf0A3265985d4bC01120A0C6bb22,0xf1fe97ceA2cd0bA34A73e26635C77C410030fE8e,0x2Ed6ceD074B2E822d3Afc1949A4433Bf4654A43A,0x712A2e08C67cD7153f04FdB3037d4696300921d0,0xc31bcCd2106Dae0b27c2C7E1385E12cEF4512f5E,0xD463EeC58D1Eb7F94865e2F2c09f097f7EB0B895,0x30f00859A0b4893b8201cb6478434EB8dDb9195a,0xe3197276dC213F62d49b0Ee77E61b6a927609eAe,0xC0717eb8ad66d0b3BF16Bbe0bAC0fb605a715A35,0x4a46649eC023DF2DCF18Ee381281408b3432428b,0xD804Ea7306abE2456Bdd04a31F6f6a2F55Dc0d21,0x9c1A19038dF30636e15e67303d9ed3474d76e015,0x03D5c199c4Abf2451D7b64b73A8078fC5a05eBa9,0xA5aBFB56a78D2BD4689b25B8A77fd49Bb0675874"
05/02/2023,20235,NeverFall,BSC,,0x53b757db8b9f3375d71eafe53e411a16acde75ee,FN (beta detected - see link in the comment),,2023-05-02 16:45:22 (UTC),0xccf513fa8a8ed762487a0dcfa54aa65c74285de1bc517bd68dbafa2813e4b7cb,"Tue, 02 May 2023 17:00:02 GMT",14min 40 sec,880,Victim properly identified,perf issue; detected by beta,"0x5ABDe8B434133C98c36F4B21476791D95D888bF5,0x97a08A9Fb303b4f6F26C5B3C3002EBd0E6417d2c"
05/05/2023,20235,DeusDAO,Arb/Mainnet,,0x189cf534de3097c08b6beaf6eb2b9179dab122d1,FN,,,,,,,,likely miss due to arb/mainnet split of alerts; already fixed,"0xBC1b62dB243B51dabCd9540473324f36E094EC55, 0xDE1E704dae0B4051e80DAbB26ab6ad6c12262DA0"
05/05/2023,20235,DeusDAO,BSC,,0x5a647e376d3835b8f941c143af3eb3ddf286c474,FN,,,,,,,,,"0xDE1E704dae0B4051e80DAbB26ab6ad6c12262DA0,0x5929dbBc11711D2B9e9ca0752393C70De74261F5,0x1472b3081d81B792E697aEA90ACCbbc4AdC5bAF9"
05/06/2023,20235,Block Forest,BSC,,0x2d2bcd3caed4b51b7090c78cfd73ea091a4b44de ,FN (beta detected - see link in the comment),,May-06-2023 04:24:13 PM +UTC,0x5a89e083e8e3ad75c38be65a6a92d7e32249cf9b5ceb304bf1ae2409241993ff,"Fri, 21 Apr 2023 05:43:36 GMT",1 hour 19 min,3619,no victim,perf issue; detected by beta,"0x538107874AEEAE2E0685B517a1A86dD5238c38b1,0x97a22Ab59234Ba7dd11d5c72E206Ed19F045B06c,0xC4e83B0EF81B4C7CAb394f1C0D4A39bf8bc4e248,0xb6576CB02dc030e819b59C57a5819Df638cB09ab"
05/06/2023,20235,Floki Ino,Mainnet,,0x662d2dc484d65a3ba4da80e36eaa9a400af0726b ,FN,,,,,,,,"mulichain funding; no funding alert, but other high precisition bots?","0xb1F4b66104353eC63D8d59D3da42C0b4Fb06E7f3,0x30Ac70e2dc5092f64031685bb23D50f782C27566,"
05/09/2023,20235,Weeb,Mainnet,,0xe9ba23Db4CAB47621d72B7A51EF166992A025B16,FN,,,,,,,,binance funding; no funding alert,"0x9E3D5B091e7728080D9b2E1AAF20EE63db6b65BB,0x2E38EB45e9d7b253A1c2Dc8e611B2c70e460AEDb"
05/10/2023,20235,Trust Trident,BSC,,0xa3aa817587556C023e78B2285D381C68CEe17069,TP,ATTACK-DETECTOR-2,"Sat, 13 May 2023 23:19:01 GMT",0xfe80df5d689137810df01e83b4bb51409f13c865e37b23059ecc6b3d32347136,13/05/2023 23:17,1min 36 sec,96,PancakeRouter (incorrect),,"0xeaF83465025b4Bf9020fdF9ea5fB6e71dC8a0779,0xa645995e9801F2ca6e2361eDF4c2A138362BADe4,0x61f834516504fC02b3cd80D41722df08fD030141,0x358EfC593134f99833C66894cCeCD41F550051b6"
05/10/2023,20235,Snooker,BSC,,0x6b67f9e79180e08cb42132754bc9f88558b1e535,FN,,,,,,,,TC didnt trigger as this wasnt a new account when TC funds were deposited,"0xA3f5ea945c4970f48E322f1e70F4CC08e70039ee,0x7957096Bd7324357172B765C4b0996Bb164ebfd4,0x05e2899179003d7c328de3C224e9dF2827406509"
05/12/2023,20235,LW Token,BSC,,0xffc21396bc3c981f057b4ec993edb2a305ef8a62,FN,,,,,,,,,0xD7aa5ae820dE27b7Ad8b2d2D92781B68943086bD
