Date,MonthYear,Attack Name,Network,Attacked Protocol Addresses,Attacker,Detected,Deteted For Protocol,AlertId,Time of Alert,ExploitTxHash,Time of Exploit Tx,Diff,Diff in sec,Time to Detect Comment,Victim,Victim Comment,Comment,ProtocolContracts,MatchingAlertHashesForProtocolContracts
6/27/2023,20236,Themis,Arb,,"0xdb73eb484e7dea3785520d750eabef50a9b9ab33,0x05a1b877330C168451F081bFaF32D690Ea964Fca",,,,,0xff368294ccb3cd6e7e263526b5c820b22dea2b2fd8617119ba5c3ab8417403d8,Jun-27-2023 06:33:09 PM +UTC,,,,,,,"0x75F805e2fB248462e7817F0230B36E9Fae0280Fc,0xe611e633C1E88d4f026fec5Bc1E40E8A477f41aD,0x6a9591Df4BDcCfA273D5760459fb9B00CeA6B4F1,0x86d0A7A8Bd588f702e154c4d6d2B95E5329a25cC,0xF053325F55e01F6f3D51AF45b42E730BD52f946a,0x7A89D78f1896957388fC4534Fc490cd8C1E24739,0x993b16ff4b16488912A9BC6cbE1F56CF2b34e259,0xb1f4463bFBf3F96b030BEAf0046ed6d33042754f,0xe3B47c688e61e74d159725EE6011D6F31A9037Eb,0x1762A96724ab7ae072ABD7dB7A43fFc66261669E,0x1467B18945135c6866b7f9d64729bcDAD60C9295,0x10c73B8e7E5DC0d25a1A717f4BF9026d955382dE,",
6/28/2023,20236,Unagi,Mainnet,,"0x00000006e09c1905203d59C506113F5dd677f7FA,0x34744E2C314FB4e59C16AfB7A8bD3C87e0389309",FN,,,,0xeaed60c62c6dfcfb5884c382baf3ec5a97d60dab8ee418e40450ca9ddefea2dc,Jun-28-2023 06:20:11 AM +UTC,,,,,,,"0x4aD0b81f92B16624BBcF46FC0030cFBBf8d02376,0xBc5991cCd8cAcEba01edC44C2BB9832712c29cAB,0x178Bf8fD04b47D2De3eF3f6b3D112106375ad584,0x3aF5Ba94C29a8407785f5f6d90eF5d69a8EB2436,0x77607588222e01bf892a29Abab45796A2047fc7b,0x634b0273D7060313FAA60f96705116c9DE50fA1f,0x49b09e7E434a3A4A924A3b640cBBA54bF93B5677,0xBF8734c5A7b3e6D88aa0110beBB37844AC043d0A,0x7F20551E082ba3E035F2890cBD1EC4E275b9C8C0,0xDe07f45688cb6CfAaC398c1485860e186D55996D,0x9ce3018375d305CE3C3303A26eF62D3d2EB8561A,0x7f75d72886D6A8677321E5602d18948aBCb4281A,0x1Eb06EaE3263a35619dC87812a8e7Ec811B59E63,0xB088D7C71ea9eBAed981c103Fc3019B59950d2C9,0x8eF11c51a666C53Aeeec504f120cd1435E451342,0x7C765C474D231fd915dc78832b478F309071cba7,0xb00AA15F78A278Be2FCb2aa7de899F3F863780f8,0xdF60b2CC40AFd588Bf650977A2d6C6AF39939f4C,0x0349Cf57BaE5C0d9be56b9C478Ea3797c7BcFddB,0x9501B3a6DcE1Bbe6094356391F3992e08EE90E3a,0x09DAb27cC3758040eea0f7b51df2Aee14bc003D6,0x6aBE5f87E3F4dC87301064F63CA5b244d119980d,0xC13A321d800d2477D35BFE342f14368752Bdc82f,0xAa6a0f286A0DEF717e9167B770C795Cb4D72c15B,0x8a539e173b5ecEe47401A82671f59DE95A082c56,0x61Bc30d0347DE4A5766beD1e6f7049543DA0CA77,0xfDa4236ADF86eBF0058BAD69Fb2e5991cfd233a2,0xc63942159F8aDf59D180EAB1333F23495aEF12Ad,0x85cb4Da19994f20cdd55527155C650CB3E613CA3,0x7F52020A55a24011cC54e4eadcF37Edc7e69F8F5,0xCC16943C30dFBbF53b3eB1FAb374a38FC79AC2F4,0x549452631ec594C0580d0bf313D2dF22304f574F,0x8c8C11C0caE2e5Da0407c7B2A823167B5436c746,0x7C420415803BEb2B8BE06973a1488f2F5cB02551,0x83fC00D3De9707Dc43a38224f37a525b89aB0C6A,0xA0DBE01b746D10eB739E7f637F65fBc2e3e9D1Bc,0xF4Fe5Cc9425B58544AFd24D8a2b14D7EBa261019,0xcF10DDfEd92d9538cA15ba5c1e89E5c6619a5d3c,0xeB49133796491205ac324D7b796D5ebD852377e3,0x1eda1B993860E2EEC59Bae8E0D8F646Ea9dd154F,0xbac5f0964006BD3871189dC0Da01E67d7C435C9F,0x994cC3a3fC0e1cB9A16f5eD06Cf52169c09ab480,0x434d68Ffc1C4DaE115E2176EdDf6539A5b8ce7D9,0x7bF9075D5e3FCD7819A978cF3E8Bb836aDBEf3E8,0x159569426128deF2afBd3F5da5d230298f1D5Ab7,0x6250002E436fc3df09cB09D654A46270c4344345,0x48424fb48C1d148B38A9d6f29D05aD09003c9Af0,0x20A00e85dE13a49f872c033d6E4ba30Ba6C4e5f5,0x07dA6bBA8529FC564f930aB7cCb7d7abbe6Ff56b,0xe859231d5ef4051D300698B9D46C421de1D7D5e0,0x27cfEEf8aF7442f60DC4D1C4f7337f901Fd8a573,0xFcF409263A5B4d51a658241d7cf78405FAFB0A4E,0x09C4B30aAF16F96c7B086Ce5692418420EBF6f08,0xc7A60D14e4D8d1bBe7eEfe2B03EDD8D9d23Cc332,0x99D0F7d0ec94FF01A3d9534BFFDabf9b7d86cfED,0x8ad4810b0ec62D78627C65b1eF19495E4204b7ee,0x546C0b07bC01Cb761C8fC15A6e4F84cBBd4E1D21,0xed0941e5dC9141A2b029C65862044A4Cac9e56E9,0xE1bdaa7EE392935eB276A421752ABE986fD52914,0xf4E2007bb865B78bc0EAc0cC242e974Efd49C06d,0xe2CEDA90aa1E43647EF306810a903b32c9a3Aa94,0x7c5D6df0646aD1Dc77FFB52E2430bE779729ed69,0xBeCA7b566FAd28cCbe6dcE59d42D37768Ab3CD8B,0x1C595009B331fE85FD658aA0B6B7bE95B6921021,0x273BA31C706b9D9FdAe1FD999183Bfa865895bE9,0x8dcb98361a49550593B57747Ab2825983EF43662,0x6e8a1e3b0B59C029809eDEE5bb9dF96FF34812a9,0x7D55C795359eB049FF482c8Bd5E0523F0fB40B6f,0x1C064EA662365c09c8E87242791dAcbb90002605,0xa2F203F34314b001A223D674dB9A2dF28A5339a4,0x1c595009b331fe85fd658aa0b6b7be95b6921021,0xbeca7b566fad28ccbe6dce59d42d37768ab3cd8b,0x992810716963dcf7df436840c7e5c80baf896a32",
6/30/2023,20236,Biswap,BSC,,0xa1e31b29f94296fc85fac8739511360f279b1976,FN,,,,0xa9fdedc440865dee38a1285bdc2f8a79947934ac67065d6b8e3a89a259f7ead0,Jun-30-2023 12:15:11 PM +UTC,,,,,,,"0x46492B26639Df0cda9b2769429845cb991591E0A,0x24Ba8d2A15Fe60618039c398Cf9FD093b1C1FEB5,0x965F527D9159dCe6288a2219DB51fc6Eef120dD1,0xdbc1a13490deef9c3c12b44fe77b503c1b061739,0x858E3312ed3A876947EA49d572A7C42DE08af7EE,0x3a6d8cA21D1CF76F653A67577FA0D27453350dD8,0xf5D6fed0f4735Ff2036cE4be535bD32e77dAE9fe","0xaac88bb9ea49a1d78d9aad1e49b3fd1525495e1c595ee369711ecf770bfc38c5,0x349d06391baf51994e6de50610533b9fa86a02f4a24ffbef4b61fd73996d6bab"
6/30/2023,20236,MyAI token,BSC,,0xc47fcc9263b026033a94574ec432514c639a2d12,TP,,ATTACK-DETECTOR-2,,0x346f65ac333eb6d69886f5614aaf569a561a53a8d93db4384bd7c0bec15ae9f6,Jun-30-2023 01:04:42 PM +UTC,,,,,,,"0x40d1E011669c0dc7Dc7c7Fb93E623d6A661Df5Ee,0x390d9078cb06f3cD4a17a39693b489446724a093",
07/01/2023,20237,PolyNetwork,Mainnet,,"0xc8ab4aa93949c377c32c069272425bd42738c42f,0xA87fB85A93Ca072Cd4e5F0D4f178Bc831Df8a00B,0xe0Afadad1d93704761c8550F21A53DE3468Ba599,0x23f4CA51aa75d9d3f28888748d514173394Cc671,0xfD3E731AFf8B930337302f26EEf015CFA022b778,0x11c924f0b50c51cbf9ac31a20365a38f24d4a4e8,0x2f6c25e3c93c0fc7fdde2ece8e370ae152a57b82",FN(beta detected),,,,0x120da2ca5df2b63e83c35c177a96e2f0823a4f0370058e7a68c931f8a2916353,Jul-01-2023 06:47:47 PM +UTC,,,,,,,"0x14413419452Aaf089762A0c5e95eD2A13bBC488C,0x5a51e2ebf8d136926b9ca7b59b60464e7c44d2eb,0x250e76987d838a75310c34bf422ea9f1AC4Cc906,0x2cdfc90250EF967036838DA601099656e74bCfc5,0x81910675DbaF69deE0fD77570BFD07f8E436386A,0xDb0f18081b505A7DE20B18ac41856BCB4Ba86A1a,0xcF2afe102057bA5c16f899271045a0A37fCb10f2",
07/03/2023,20237,Azuki DAO,Mainnet,,"0x85d231c204b82915c909a05847cca8557164c75e,0x8eadc7cc0a77594e3fa999e80e1ccb7f4e1c04e0",FN,,,,0x4c50c1da8a25bcaf7c47661423f435a339c8dd3ce8f0e8e1c3a21dcc52e84acc,Jun-30-2023 04:37:47 PM +UTC,,,,,,,"0xED5AF388653567Af2F388E6224dC7C4b3241C544,0x711867b009c28f79972fd36A0D13A24c1FBC3C99,0x8189AFBE7b0e81daE735EF027cd31371b3974FeB",
07/04/2023,20237,Bamboo AI,BSC,,"0x16c4da1afe64634ab72968d8f7f9a80518b84e61,0x7F7D46AA776Ed3f676B0E2c6368D86f1564FF5A2",FN(beta detected),,,,0xda41af9d60d62eef28444b4c42f80754140767efb8ecef1b68b4fb1c11baa789,Jul-04-2023 12:06:26 PM +UTC,,,,,,,"0x0557713d02a15a69dea5dd4116047e50f521c1b1,0xED56784bC8F2C036f6b0D8E04Cb83C253e4a6A94",
07/04/2023,20237,Bao Community,Mainnet,,"0x00693a01221a5e93fb872637e3a9391ef5f48300,0x3f99d5cd830203a3027eb0ed6548db7f81c3408f",FN,,,,0xdd7dd68cd879d07cfc2cb74606baa2a5bf18df0e3bda9f6b43f904f4f7bbdfc1,Jul-04-2023 01:30:47 PM +UTC,,,,,,,"0x5ee08f40b637417bcC9d2C51B62F4820ec9cF5D8,0xb0f8Fe96b4880adBdEDE0dDF446bd1e7EF122C4e,0xf4edfad26EE0D23B69CA93112eccE52704E0006f,0x3dFc49e5112005179Da613BdE5973229082dAc35,0x8Bf70DFE40F07a5ab715F7e888478d9D3680a2B6,0x885D90A424f87D362C9369C0F3d9A2d28AF495F4,0x235b30088E66d2D28F137b422B9349fBa51E0248,0x840e75261c2934f33C8766F6eA6235330DC1D72d,0x7492Aa25Dcb4013925c199Ded466Fdf9baa6A380,0x3dCe48CfC0bEA704ec1640b34b33eC55F97D3056,0x9Ec01C8315FB3062C9C790c368b0001A84E94A74,0x1390c3ffb3f45864641f08bcc66211935B10D753,0xe7f3a90AEe824a55B0F8969b6e29698966EE0191,0x0a39eE038AcA8363EDB6876d586c5c7B9336a562,0x675F82DF9e2fC99F8E18D0134eDA68F9232c0Af9,0xdae71239d7f277824700dfc45b575e6aa21e2294,0x15174daafd4a72f282cf875a839d1abe9bf444c1,0x8fbcb931409d7118949b92c0ed2d692f6bcb3d92,0x0e7b7f385dc87e515b44e05233c340d474ea9d7c,0x123Ec6701097d1C95771d0b8Fa48B0d88E7D7B62,0x7945b0A6674b175695e5d1D08aE1e6F13744Abb0,0xce391315b414d4c7555956120461d21808a69f3a,0xa1e3F062CE5825c1e19207cd93CEFdaD82A8A631",
07/05/2023,20237,Rodeo Finance,Arb,,"0x20de06dcf497911aca02529628383c7599dacfb9,0xbc7070605e9052c8c2c8b04732fcb85199d8246b",FN,,,,0xd786d24dc9fd2972d87fd67c3807756fc927d90d07bd43bc06b67224711d2944,Jul-04-2023 06:30:49 PM +UTC,,,,,,,"0x8accf43Dd31DfCd4919cc7d65912A475BfA60369,0x9D6A853Da8BF51386240Ad1ed19E13C48dF3a2A7,0x6f456005A7CfBF0228Ca98358f60E6AE1d347E18,0x5e4d7F61cC608485A2E4F105713D26D58a9D0cF6,0x0032F5E1520a66C6E572e96A11fBF54aea26f9bE,0x3D288C83b6030f86d83E5C8Dc4150382004471A8,0xaB7d6293CE715F12879B9fa7CBaBbFCE3BAc0A5a,0x033f193b3Fceb22a440e89A2867E8FEE181594D9,0x45a58482c3B8Ce0e8435E407fC7d34266f0A010D,0x5180Dce8F532f40d84363737858E2C5Fd0C8aB39,0xC4327DC9Ef2511706D233e813b822f196bc027ac",
07/06/2023,20237,Multichain,Mainnet,,"0x9d5765ae1c95c21d4cc3b1d5bba71bad3b012b68,0xefeef8e968a0db92781ac7b3b7c821909ef10c88,0x418ed2554c010a0c63024d1da3a93b4dc26e5bb7,0x622e5f32e9ed5318d3a05ee2932fd3e118347ba0,0x48bead89e696ee93b04913cb0006f35adb844537,0x027f1571aca57354223276722dc7b572a5b05cd8",FN,,,,"0xda80a8c8d5a8fdf0208a6fd01c39af018e400763b1d08f3543f52353345fe62e,0x448f2a6a6c071cdce254937e06305a033538e1aeb9339227d0e59e0458e6185c,0xb9f52d5eb0d67c1038debe8e0f60ed265bd4937db0cfe5ef15b3f1fa28f31f8d,0xbd29fe07555c28527fb0207aa0ac2b67d4afef0426793c35b76d005613477fc4",Jul-06-2023 06:10:35 PM +UTC,,,,,,,"0x0a992d191DEeC32aFe36203Ad87D7d289a738F81,0xBd3fa81B58Ba92a82136038B25aDec7066af3155,0x8efd012977DD5C97E959b9e48c04eE5fcd604374,0xC564EE9f21Ed8A2d8E7e76c085740d5e4c5FaFbE",
